,C1,C2,C3,C4
0,0.60,0.93,0.00,0.73
1,0.66,0.55,0.45,0.49
2,1.00,0.45,0.57,0.50
3,0.48,0.87,0.00,0.75
4,0.62,0.40,0.56,0.50
5,0.78,0.27,0.71,0.50
6,0.40,0.90,0.00,0.82
7,0.64,0.44,0.54,0.54
8,0.65,0.30,0.71,0.55
9,0.45,0.86,0.00,0.73
10,0.61,0.54,0.38,0.49
11,0.74,0.25,0.80,0.49
12,0.48,0.97,0.00,0.91
13,0.69,0.49,0.56,0.61
14,0.87,0.03,1.00,0.61
15,0.44,0.95,0.00,0.90
16,0.68,0.40,0.65,0.60
17,0.76,0.06,1.00,0.60
18,0.35,0.91,0.00,0.98
19,0.64,0.22,0.81,0.65
20,0.83,0.25,0.80,0.65
21,0.32,0.83,0.00,0.94
22,0.59,0.24,0.70,0.63
23,0.73,0.03,1.00,0.63
24,0.34,1.00,1.00,1.00
25,0.71,0.25,0.88,0.67
26,0.80,0.06,1.00,0.67
